Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Distance(mi),Hour_of_Day,Is_Weekend,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Infra_Feature_Count,Severity
48.0,100.0,29.9,8.0,0.0,0.0,0.132,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
73.0,68.0,30.14,10.0,3.5,0.0,0.0,9.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,3
90.0,49.0,29.42,10.0,5.0,0.0,0.234,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
62.0,44.0,30.02,10.0,3.0,0.0,1.122,8.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
55.0,86.0,29.68,10.0,9.2,0.0,0.01,7.0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,3
43.0,100.0,27.18,3.0,6.0,0.0,0.0,14.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
51.0,96.0,29.8,10.0,7.0,0.0,0.03,2.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
41.0,93.0,30.16,10.0,11.5,0.0,0.0,16.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
64.0,29.0,29.86,10.0,0.0,0.0,0.0,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
57.0,69.0,29.76,10.0,20.0,0.0,0.799,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
64.0,45.0,29.82,10.0,8.0,0.0,0.0,20.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
86.0,61.0,29.88,10.0,3.0,0.0,0.0,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
64.0,75.0,29.04,10.0,7.0,0.0,0.0,21.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
73.0,28.0,30.09,10.0,20.0,0.0,1.053,15.0,False,False,False,False,False,False,False,False,False,False,True,False,False,1,2
68.0,33.0,30.02,10.0,5.8,0.0,0.0,16.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
48.9,100.0,29.92,10.0,3.5,0.01,0.0,18.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
51.8,94.0,29.92,2.0,10.4,0.0,0.0,8.0,False,False,False,True,False,False,False,False,False,False,True,False,False,2,2
51.0,89.0,30.09,5.0,0.0,0.0,0.053,13.0,False,False,False,True,False,False,False,False,False,False,True,False,False,2,2
23.0,85.0,29.89,5.0,14.0,0.0,0.611,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
69.0,47.0,29.95,10.0,10.0,0.0,0.034,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
73.4,16.0,30.2,10.0,4.6,0.0,0.01,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
36.0,100.0,29.59,0.25,0.0,0.0,0.0,6.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
35.0,59.0,30.16,10.0,6.0,0.0,0.0,8.0,False,False,False,True,False,False,False,False,False,False,False,False,True,2,2
70.0,60.0,27.64,10.0,0.0,0.0,0.0,21.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
53.6,58.0,30.34,10.0,9.2,0.0,0.01,8.0,False,False,False,True,False,False,False,False,False,False,False,False,True,2,2
46.0,93.0,29.88,6.0,5.0,0.0,0.01,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,3
75.0,33.0,29.82,10.0,9.0,0.0,0.0,15.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
66.9,59.0,30.21,10.0,8.1,0.0,0.01,15.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
58.0,32.0,27.19,10.0,28.0,0.0,0.7140000000000001,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
97.0,6.0,25.89,10.0,16.0,0.0,0.0,13.0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1
64.0,52.0,29.93,10.0,5.0,0.0,0.0,17.0,False,False,False,True,False,False,False,False,False,False,False,False,False,1,2
102.9,17.0,29.81,10.0,8.1,0.0,0.0,14.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
47.0,100.0,30.06,0.0,0.0,0.0,0.003,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
66.9,70.0,29.84,10.0,9.2,0.0,0.0,19.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,3
59.0,72.0,30.16,10.0,13.0,0.0,0.0,17.0,False,False,False,True,False,False,False,False,False,False,False,False,True,2,2
37.9,79.0,30.16,10.0,4.6,0.0,0.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
81.0,26.0,29.92,10.0,16.0,0.0,0.138,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
75.0,41.0,29.98,10.0,17.0,0.0,0.0,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
66.2,100.0,30.31,0.2,4.6,0.0,0.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
64.4,52.0,29.83,10.0,13.8,0.0,0.445,12.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,3
73.0,57.0,29.84,10.0,8.0,0.0,0.173,10.0,False,False,False,False,False,False,False,False,False,True,False,False,False,1,2
43.0,56.0,27.57,10.0,15.0,0.0,0.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
61.0,70.0,30.25,10.0,3.0,0.0,0.235,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
77.0,84.0,29.42,9.0,6.0,0.0,0.219,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
89.0,61.0,29.94,10.0,6.0,0.0,0.0,11.0,False,False,False,True,False,False,False,False,False,False,False,False,True,2,2
50.0,87.0,29.67,6.0,3.0,0.0,0.452,9.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
48.0,100.0,29.82,8.0,7.0,0.01,0.015,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
94.0,35.0,29.9,10.0,9.0,0.0,0.006,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
78.8,83.0,30.05,8.0,7.0,0.0,0.0,20.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
50.0,71.0,30.58,10.0,5.0,0.0,0.01,21.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
62.0,72.0,29.83,6.0,3.0,0.0,1.024,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
48.0,29.0,30.46,10.0,8.1,0.0,0.0,8.0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2
61.0,78.0,29.97,10.0,4.6,0.0,0.107,14.0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2
89.0,53.0,30.06,10.0,16.0,0.0,0.053,14.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
79.0,8.0,29.8,10.0,0.0,0.0,0.0,16.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
81.0,20.0,29.77,10.0,9.2,0.0,0.0,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
73.0,53.0,27.35,10.0,3.0,0.0,0.0,16.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
97.0,37.0,28.81,7.0,12.0,0.0,0.0,16.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
62.0,80.0,29.36,10.0,8.0,0.0,0.04,18.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
86.0,37.0,29.9,10.0,7.0,0.0,6.089,14.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
72.0,68.0,29.99,7.0,11.5,0.0,0.0,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
64.0,45.0,29.43,10.0,13.0,0.0,0.0,10.0,False,False,False,False,True,False,False,False,False,False,False,False,True,2,2
70.0,25.0,29.22,10.0,8.0,0.0,0.0,16.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
58.0,70.0,29.73,10.0,0.0,0.0,0.07,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
63.0,70.0,29.53,10.0,5.0,0.0,0.816,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
84.0,46.0,29.93,10.0,5.8,0.0,0.0,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
63.0,78.0,30.06,10.0,13.0,0.0,2.053,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
89.0,14.0,27.16,10.0,9.0,0.0,0.086,16.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
78.0,68.0,29.92,10.0,15.0,0.0,0.0,18.0,False,False,False,True,False,False,False,False,False,False,False,False,False,1,2
91.0,29.0,29.95,10.0,17.3,0.0,0.0,16.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
53.0,83.0,29.78,5.0,5.0,0.0,0.2,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
75.0,47.0,29.74,10.0,12.0,0.0,1.594,15.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
57.0,55.0,30.02,10.0,0.0,0.0,0.074,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
51.0,32.0,29.16,10.0,5.0,0.0,0.16,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
68.0,73.0,28.88,10.0,6.0,0.0,0.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
57.0,89.0,29.17,4.0,3.0,0.0,0.0,22.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
69.1,61.0,29.9,10.0,8.1,0.0,0.028,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
91.0,25.0,29.65,10.0,8.0,0.0,0.374,14.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
66.0,28.0,29.58,10.0,5.0,0.0,0.0,10.0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2
47.0,74.0,29.91,10.0,0.0,0.0,0.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
65.0,39.0,29.95,10.0,0.0,0.0,0.092,8.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
63.0,72.0,30.05,10.0,0.0,0.0,1.655,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
78.1,66.0,29.89,9.0,3.5,0.0,0.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
76.0,17.0,30.01,10.0,10.0,0.0,0.0,14.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
74.0,34.0,28.27,10.0,10.0,0.0,0.588,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
48.0,77.0,30.04,10.0,5.0,0.0,0.01,22.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
48.0,74.0,29.99,10.0,6.0,0.0,0.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
43.0,53.0,29.66,10.0,14.0,0.0,0.0,11.0,False,False,False,True,False,False,False,True,False,False,False,False,True,3,2
57.0,77.0,29.92,8.0,0.0,0.0,0.031,21.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
81.0,49.0,29.76,8.0,0.0,0.0,1.837,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
70.0,27.0,29.89,10.0,10.0,0.0,0.0,18.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
95.0,13.0,29.86,10.0,7.5,0.0,3.719,14.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
44.0,81.0,30.2,10.0,0.0,0.0,3.074,8.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
57.0,33.0,29.67,10.0,13.0,0.0,0.7140000000000001,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
88.0,30.0,28.9,10.0,7.0,0.0,0.713,11.0,True,False,False,False,False,False,False,False,False,False,False,False,True,1,2
77.0,66.0,29.88,10.0,10.4,0.0,0.198,15.0,False,False,False,True,False,False,False,False,False,True,False,False,True,3,2
62.1,70.0,30.07,5.0,7.0,0.0,0.0,9.0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2
61.0,50.0,30.03,10.0,16.1,0.0,0.0,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
72.0,49.0,29.79,10.0,8.0,0.0,1.644,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
55.4,70.0,29.88,10.0,8.0,0.0,0.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
98.6,53.0,29.93,10.0,4.6,0.0,0.0,11.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
82.0,60.0,29.41,10.0,18.4,0.0,0.01,20.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
67.0,21.0,30.15,10.0,0.0,0.0,0.0,18.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
66.9,87.0,29.97,10.0,4.6,0.0,0.0,19.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
78.0,37.0,29.33,10.0,0.0,0.0,0.49,4.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
64.0,45.0,29.99,10.0,13.0,0.0,1.656,13.0,False,False,False,False,False,False,False,False,False,True,False,False,False,1,2
50.0,87.0,29.97,10.0,17.3,0.0,0.01,1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,3
66.9,26.0,30.2,10.0,11.5,0.0,0.0,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
43.0,93.0,29.96,1.0,0.0,0.0,2.417,23.0,False,False,False,False,False,True,False,False,False,False,False,False,False,1,2
79.0,28.0,29.67,10.0,13.0,0.0,0.012,20.0,False,False,False,True,False,False,False,False,False,True,False,False,False,2,2
57.0,51.0,24.97,10.0,12.0,0.0,0.0,22.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
59.0,93.0,29.68,3.0,0.0,0.0,0.253,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
53.6,72.0,29.95,10.0,5.0,0.0,0.044,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
64.9,81.0,30.04,7.0,3.5,0.0,0.631,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
62.1,86.0,29.89,5.0,5.8,0.0,0.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
63.0,43.0,30.34,10.0,9.2,0.0,0.001,15.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
62.0,72.0,29.93,9.0,18.0,0.0,0.0,16.0,False,False,False,False,False,False,False,False,False,False,True,False,True,2,2
54.0,62.0,29.69,10.0,5.0,0.0,0.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
77.0,48.0,29.46,10.0,7.0,0.0,0.0,10.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
77.0,40.0,29.94,10.0,5.0,0.0,0.0,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
79.0,44.0,29.17,10.0,3.0,0.0,0.018,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
91.4,12.0,30.02,10.0,4.6,0.0,0.01,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
48.0,83.0,30.31,10.0,5.0,0.0,0.0,7.0,False,False,False,False,False,False,False,False,False,False,True,False,False,1,2
44.0,93.0,29.39,10.0,6.0,0.01,0.286,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
60.0,33.0,30.16,10.0,7.0,0.0,0.847,18.0,True,False,False,False,False,True,False,False,False,False,False,False,False,1,2
69.1,69.0,29.94,10.0,6.0,0.0,0.7559999999999999,8.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
55.9,72.0,30.11,10.0,5.8,0.0,0.01,22.0,False,False,False,False,False,True,False,False,False,False,False,False,False,1,2
47.0,100.0,29.37,7.0,9.0,0.01,1.392,20.0,False,False,False,False,False,True,False,False,False,False,False,False,False,1,2
62.0,90.0,29.67,6.0,0.0,0.0,0.5899999737739563,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,3
67.0,68.0,29.87,10.0,6.0,0.0,0.0,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
66.2,28.0,30.03,7.0,3.5,0.0,0.0,14.0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,3
61.0,36.0,30.02,10.0,10.0,0.0,0.009,14.0,False,False,False,False,False,False,False,False,False,True,False,False,True,2,2
88.0,53.0,30.13,10.0,3.5,0.0,0.0,10.0,False,True,False,True,False,False,False,False,False,True,False,False,False,3,2
61.0,78.0,29.96,10.0,21.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
63.0,94.0,29.46,0.5,3.0,0.0,0.595,8.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
60.0,55.0,29.66,10.0,7.0,0.0,0.048,14.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
62.0,41.0,29.73,10.0,0.0,0.0,0.026,22.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
51.0,50.0,30.23,10.0,6.0,0.0,0.0,18.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
82.4,79.0,29.94,8.0,6.9,0.0,0.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2
55.4,67.0,30.19,10.0,3.5,0.0,0.0,16.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
40.1,77.0,30.47,10.0,8.1,0.0,0.0,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
72.0,87.0,29.14,10.0,6.0,0.01,0.0,10.0,False,False,False,True,False,False,False,False,False,True,False,False,True,3,2
67.0,55.0,29.96,10.0,5.8,0.0,0.0,20.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
47.0,68.0,30.04,10.0,3.0,0.0,0.116,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
69.1,22.0,29.99,10.0,12.7,0.0,0.01,12.0,False,False,False,False,False,True,False,False,False,False,False,False,False,1,3
68.0,23.0,30.28,4.0,3.5,0.0,0.127,16.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
54.0,90.0,30.16,8.0,9.2,0.0,0.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2
72.0,91.0,30.01,7.0,12.0,0.0,1.179,13.0,False,False,False,False,False,True,False,False,False,False,False,False,False,1,2
93.0,42.0,29.96,10.0,10.4,0.0,0.0,12.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
51.0,100.0,30.0,0.25,0.0,0.0,0.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
69.1,81.0,29.91,7.0,3.5,0.0,0.0,23.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
73.9,71.0,30.05,10.0,10.4,0.0,0.0,18.0,False,False,False,False,False,False,False,False,False,False,True,False,False,1,2
72.0,53.0,29.95,10.0,3.0,0.0,0.261,16.0,False,False,False,True,False,False,False,False,False,False,False,False,False,1,2
75.9,94.0,30.01,10.0,4.6,0.0,0.0,7.0,False,False,False,True,False,False,False,False,False,False,False,False,False,1,2
84.0,48.0,28.48,10.0,7.0,0.0,0.278,18.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
55.0,74.0,30.1,10.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
80.6,61.0,29.99,9.0,3.5,0.0,0.0,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
57.0,62.0,30.07,10.0,5.0,0.0,0.032,19.0,False,False,False,False,False,False,False,True,False,True,False,False,False,2,2
94.5,40.0,29.84,10.0,8.1,0.0,3.4130000000000003,15.0,False,False,False,False,False,True,False,False,False,False,False,False,False,1,2
55.0,74.0,29.88,10.0,5.8,0.03,0.0,18.0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,3
72.0,37.0,29.29,10.0,6.0,0.0,0.155,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
66.0,43.0,29.28,10.0,3.0,0.0,0.291,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
52.0,86.0,29.56,5.0,6.0,0.08,0.072,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
78.0,76.0,29.68,8.0,13.0,0.0,0.5579999999999999,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
61.0,44.0,30.13,10.0,5.0,0.0,0.0,18.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
55.9,77.0,29.94,10.0,3.5,0.0,0.0,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
64.0,70.0,28.99,10.0,3.0,0.0,0.0,2.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
78.0,52.0,29.62,10.0,5.0,0.0,0.214,9.0,False,False,False,False,False,True,False,False,False,False,False,False,False,1,2
54.95,74.0,29.9,10.0,9.0,0.0,0.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
69.0,58.0,29.49,10.0,8.0,0.0,0.589,19.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
49.0,90.0,29.93,1.0,3.0,0.0,3.387,11.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
81.0,33.0,29.24,9.0,0.0,0.0,0.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1
43.0,93.0,30.13,3.0,3.0,0.0,0.01,17.0,False,False,False,True,False,False,False,False,False,False,False,False,False,1,2
75.0,57.0,29.85,10.0,11.5,0.0,0.0,14.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
62.1,80.0,29.99,7.0,10.4,0.0,0.0,5.0,False,False,False,False,False,False,False,False,False,False,True,False,False,1,3
57.0,81.0,29.94,9.0,6.0,0.0,0.225,18.0,False,False,False,False,False,True,False,False,False,False,False,False,False,1,2
58.0,41.0,29.59,10.0,10.0,0.0,0.147,17.0,False,True,False,True,False,False,False,False,False,False,False,False,False,2,2
49.0,74.0,28.89,10.0,15.0,0.0,5.43,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
52.0,53.0,30.07,10.0,3.0,0.0,0.099,2.0,True,False,False,False,False,False,False,False,False,False,False,False,True,1,2
39.0,93.0,30.04,10.0,5.0,0.0,0.243,5.0,False,False,False,True,False,False,False,False,False,False,False,False,False,1,2
86.0,43.0,29.88,10.0,3.5,0.0,0.0,14.0,False,False,False,False,True,False,False,False,False,False,False,False,True,2,3
87.0,8.0,29.89,10.0,8.0,0.0,2.7430000000000003,10.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
57.0,77.0,29.96,10.0,4.6,0.0,0.0,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
93.0,27.0,29.71,10.0,13.8,0.0,0.0,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
79.0,42.0,29.72,6.0,0.0,0.0,0.05,14.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
64.4,62.0,29.86,10.0,6.0,0.0,0.096,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
61.0,72.0,29.74,10.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
81.0,21.0,29.96,10.0,7.0,0.0,0.36,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
57.0,87.0,29.91,7.0,3.0,0.0,0.115,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
48.0,74.0,30.1,10.0,3.0,0.0,5.216,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
68.0,50.0,30.09,10.0,23.0,0.0,0.0,14.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,3
49.0,32.0,29.68,10.0,13.0,0.0,0.0,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
71.1,87.0,29.95,6.0,4.6,0.0,0.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
63.0,54.0,29.07,10.0,8.0,0.0,0.0,19.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
95.0,7.0,25.91,10.0,7.0,0.0,0.0,14.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
69.0,29.0,29.82,10.0,8.0,0.0,0.458,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
55.0,63.0,30.07,9.0,5.0,0.0,0.955,14.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
64.4,26.0,29.99,10.0,8.0,0.0,0.124,8.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
62.0,72.0,29.89,10.0,6.0,0.0,0.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
41.0,49.0,30.23,10.0,5.8,0.0,0.0,7.0,False,False,False,True,False,False,False,False,False,False,False,False,True,2,2
40.0,58.0,29.89,10.0,22.0,0.0,0.0,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,4
87.1,30.0,29.84,10.0,10.4,0.0,0.0099999997764825,16.0,False,False,False,True,True,False,False,False,False,True,True,False,False,4,2
64.0,49.0,26.03,7.0,9.0,0.0,0.352,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
72.0,51.0,29.79,10.0,3.5,0.0,0.0,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
64.0,30.0,28.91,10.0,6.0,0.0,0.119,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
80.0,35.0,29.63,10.0,8.0,0.0,0.022,19.0,True,False,False,True,False,False,False,False,False,False,False,False,True,2,2
69.1,90.0,29.97,10.0,8.1,0.0,0.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
56.0,90.0,29.99,3.0,6.0,0.11,0.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
68.0,60.0,27.29,10.0,5.0,0.0,0.231,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
70.0,36.0,30.02,10.0,8.0,0.0,1.063,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
74.0,21.0,28.45,10.0,14.0,0.0,0.0,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
42.0,89.0,30.18,10.0,3.0,0.0,0.1689999999999999,13.0,False,False,False,False,False,True,False,False,False,False,False,False,False,1,2
84.0,34.0,29.92,10.0,12.0,0.0,0.0,16.0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,3
71.0,47.0,29.88,10.0,7.0,0.0,0.029,13.0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2
62.0,62.0,30.24,10.0,8.0,0.0,0.453,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False,1,2
87.0,63.0,29.71,10.0,22.0,0.0,0.093,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
73.0,84.0,29.57,10.0,0.0,0.0,0.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
71.0,73.0,29.71,7.0,0.0,0.0,0.0,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
65.0,84.0,29.64,5.0,0.0,0.0,3.771,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
66.0,83.0,29.15,6.0,0.0,0.0,1.63,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
77.0,41.0,29.9,10.0,5.8,0.0,0.0,21.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
59.0,42.0,27.52,10.0,5.0,0.0,0.297,15.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
